,Unnamed: 0,storeNumber,countryCode,ownershipTypeCode,schedule,slug,latitude,longitude,streetAddressLine1,streetAddressLine2,streetAddressLine3,city,countrySubdivisionCode,postalCode,currentTimeOffset,windowsTimeZoneId,olsonTimeZoneId
18663,18663,26344-242965,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}]",长沙星沙万象汇店-经济技术开发区-星沙大道-186-号-长沙市-43-410000-cn,28.248132,113.086624,经济技术开发区,华润万象汇1楼,星沙大道186号,长沙市,43,410000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18664,18664,63820-298542,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}]",长沙星沙天虹购物中心店-湖南省长沙市长沙县星沙街道开元东路-192-号-长沙市-43-410000-cn,28.245249,113.097257,湖南省长沙市长沙县星沙街道开元东路192,,号,长沙市,43,410000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18665,18665,29595-253466,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}]",长沙步步高梅溪新天地店-岳麓区-枫林三路-1099-号-长沙市-43-410000-cn,28.198635,112.86243,岳麓区,步步高梅溪新天地广场1F,枫林三路1099号,长沙市,43,410000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18666,18666,57064-291081,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 10:00 PM', 'open': True, 'holiday': ''}]",长沙砂之船店-湖南省长沙市望城区金星北路-378-号-l-1-层-01-a单元-长沙市-43-410000-cn,28.287471,112.91851,湖南省长沙市望城区金星北路378号,,L1层01A单元,长沙市,43,410000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18844,18844,3843-153629,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}]",无锡万达店-滨湖区-梁溪路-35-号-无锡市-32-214000-cn,31.562665,120.266619,滨湖区,万达广场,梁溪路35号,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18845,18845,53434-285593,CN,CO,"[{'dayName': 'Today', 'hours': '9:30 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '9:30 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '9:30 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '9:30 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '9:30 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '9:30 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '9:30 AM to 9:30 PM', 'open': True, 'holiday': ''}]",无锡滨湖万达百货店-江苏省无锡市-滨湖区梁溪路-35-号-无锡市-32-214000-cn,31.562815,120.267746,江苏省无锡市,万达百货壹层1099号商铺,滨湖区梁溪路35号,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18846,18846,65460-299843,CN,CO,"[{'dayName': 'Today', 'hours': '8:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '8:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '8:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '8:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '8:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '8:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '8:00 AM to 8:00 PM', 'open': True, 'holiday': ''}]",无锡河埒金融港店-江苏省无锡市滨湖区河埒街道梁清路-88-号-1-层-1-单元-无锡市-32-214000-cn,31.560275,120.273685,江苏省无锡市滨湖区河埒街道梁清路88号1层1单元,,,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18847,18847,54400-286675,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}]",无锡溪南公馆店-江苏省无锡市-滨湖区建筑路-369-号-s-2-商铺-无锡市-32-214000-cn,31.548608,120.27658,江苏省无锡市,,滨湖区建筑路369号S2商铺,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18848,18848,22514-221524,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}]",无锡万科运河外滩店-滨湖区-湖滨路-11-号运河外滩贰号一层-无锡市-32-214000-cn,31.553821,120.284797,滨湖区,,湖滨路11号运河外滩贰号一层,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18849,18849,22339-219631,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 9:30 PM', 'open': True, 'holiday': ''}]",无锡城开国际中心店-滨湖区-隐秀路-800-号-无锡市-32-214000-cn,31.541252,120.257834,滨湖区,,隐秀路800号,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18850,18850,26314-244245,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 6:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 9:00 PM', 'open': True, 'holiday': ''}]",无锡百脑汇店-南长区-人民西路-25-号-1-楼-1-y-04-商铺、-2-楼-2-y-04-商铺-无锡市-32-,31.574903,120.290319,南长区,无锡百脑汇,人民西路25号1楼1Y04商铺、2楼2Y04商铺,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18851,18851,17142-178588,CN,CO,"[{'dayName': 'Today', 'hours': '6:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '6:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '6:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '6:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '6:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '6:30 AM to 10:00 PM', 'open': True, 'holiday': ''}]",无锡阳光广场店-南长区-红星路-229-7-号-无锡市-32-214000-cn,31.548897,120.291385,南长区,阳光广场,红星路 229-7号,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18852,18852,18102-187910,CN,CO,"[{'dayName': 'Today', 'hours': '8:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '8:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '8:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '8:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '8:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '8:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '8:30 AM to 10:00 PM', 'open': True, 'holiday': ''}]",无锡恒隆广场店-崇安区-人民中路-139-号-无锡市-32-214000-cn,31.573856,120.29744,崇安区,恒隆广场地下一层,人民中路139号,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
18853,18853,21532-212077,CN,CO,"[{'dayName': 'Today', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 10:30 PM', 'open': True, 'holiday': ''}]",无锡湖滨商业街店-滨湖区-湖滨街-15-号-11-无锡市-32-214000-cn,31.534768,120.27865,滨湖区,靠近蠡太路,湖滨街15号-11,无锡市,32,214000,480,China Standard Time,GMT+08:00 Asia/Shanghai
